141	404	826	355	891
280	179	11	792	325
786	107	630	54	420
415	136	286	390	105
56	921	554	140	869
65	378	758	196	134
567	852	317	927	426
692	229	905	403	264
127	16	424	348	418
529	371	421	848	683
797	434	202	8	158
326	109	73	236	808
965	930	179	649	459
675	787	483	232	228
331	366	769	518	635
817	825	619	300	886
844	808	10	853	499
933	745	909	323	348
583	680	497	770	971
515	863	135	365	684
649	341	192	720	923
119	212	533	208	341
953	929	918	436	727
529	507	509	598	435
548	178	918	970	215
746	964	312	812	721
718	384	975	746	556
863	610	459	991	996
353	379	883	698	619
520	358	45	289	38
105	64	433	775	511
468	286	349	87	205
215	521	69	300	573
783	18	410	358	857
644	695	729	80	151
294	33	448	757	701
763	540	211	247	387
675	157	422	766	116
982	692	800	738	151
555	851	598	135	501
779	929	221	965	256
456	871	189	943	239
592	396	648	190	929
315	453	107	542	800
369	428	335	163	48
43	642	305	881	904
672	987	256	756	415
619	267	807	975	53
836	549	497	238	64
961	228	686	333	482
611	34	949	295	349
835	495	232	98	525
551	305	499	787	975
80	77	495	898	590
976	742	303	196	888
87	600	117	113	909
576	574	642	551	426
282	603	18	195	493
734	864	454	74	629
595	981	613	167	5
377	854	189	101	688
517	769	983	990	379
545	952	165	632	879
825	424	370	194	335
959	185	135	755	247
816	913	256	9	930
203	555	755	311	416
412	838	463	536	293
662	642	843	753	819
982	707	639	612	89
481	76	241	573	772
668	529	797	440	558
590	393	719	768	226
110	750	974	550	255
385	288	504	768	316
562	464	33	113	283
721	972	587	10	147
634	702	387	395	963
911	979	416	138	569
740	463	527	219	264
275	646	835	482	260
699	324	367	565	282
731	412	19	248	157
371	290	382	755	312
230	749	811	118	626
81	655	512	72	100
617	542	188	608	589
168	297	964	620	508
534	491	679	466	224
200	641	65	622	579
11	206	232	527	859
441	766	51	495	584
890	765	848	823	12
669	624	491	546	40
168	283	595	858	1
444	103	458	128	881
642	584	425	95	764
246	18	412	242	635
27	142	896	466	990
558	660	704	379	833
993	467	165	820	874
615	808	50	615	341
779	411	166	497	302
125	671	11	404	746
468	508	785	820	313
579	602	107	574	125
314	738	123	385	214
177	159	839	820	163
48	468	477	44	584
979	528	666	101	448
628	116	637	323	750
856	620	792	184	562
841	356	951	314	46
609	268	989	295	978
916	503	256	809	596
375	737	1000	636	388
380	799	811	634	699
780	479	407	131	199
974	820	407	205	78
397	727	218	448	674
231	654	214	446	581
916	195	275	817	978
973	225	732	115	852
86	420	47	270	146
111	149	474	428	339
613	315	657	644	132
212	884	273	984	933
615	247	13	282	803
156	16	209	843	675
883	275	569	20	283
458	913	862	10	486
94	753	397	510	6
419	446	434	385	792
688	627	200	771	818
120	925	355	853	422
592	701	212	921	201
589	575	898	417	38
22	951	957	858	589
630	563	677	163	125
140	457	566	696	734
420	561	933	312	458
162	253	71	514	695
14	157	526	25	397
513	476	483	601	15
69	908	490	227	792
951	79	381	327	821
394	996	43	815	166
212	393	997	436	636
482	939	464	813	920
24	356	395	918	685
397	73	415	808	708
612	788	225	783	524
513	806	776	899	467
853	334	61	823	419
324	344	111	156	67
794	3	312	778	876
765	597	245	874	926
44	365	498	159	903
544	919	652	582	781
745	506	299	797	822
433	550	942	814	490
498	27	436	502	976
284	993	730	522	130
298	773	820	833	404
509	684	1	782	740
960	362	269	820	935
865	257	642	538	288
520	837	742	670	708
657	495	410	169	536
300	527	308	365	632
903	628	759	989	764
580	121	481	723	771
688	112	996	364	51
18	134	366	170	728
782	718	969	992	357
424	967	475	559	886
221	903	834	575	869
142	322	921	632	113
871	62	944	872	307
488	35	300	671	309
212	803	130	794	407
822	286	42	536	615
579	760	220	646	814
885	834	651	140	409
633	733	767	471	712
288	120	154	75	902
438	972	493	382	618
982	765	345	49	396
795	929	807	737	359
179	481	697	708	769
721	977	486	192	809
901	613	105	529	863
433	852	463	222	422
945	484	394	575	550
357	441	945	124	84
225	399	548	358	958
362	98	135	526	394
82	734	695	809	337
489	921	765	523	605
428	876	741	394	377
